,Project,url_base,url,html_string,html_lang
0,n aip Deutschland GmbH,https://www.naip.de,https://www.naip.de,"<!DOCTYPE html>
<html class=""no-js page page--id-1 page--type-20"" lang=""de-DE"">
<head>

<meta charset=""utf-8"">
<!-- 
	This website is powered by TYPO3 - inspiring people to share!
	TYPO3 is a free open source Content Management Framework initially created by Kasper Skaarhoj and licensed under GNU/GPL.
	TYPO3 is copyright 1998-2023 of Kasper Skaarhoj. Extensions are copyright of their respective owners.
	Information and contribution at https://typo3.org/
-->



<title>n:aip – Die care:manager</title>
<meta http-equiv=""x-ua-compatible"" content=""IE=edge"" />
<meta name=""generator"" content=""TYPO3 CMS"" />
<meta name=""application-name"" content=""n:aip"" />
<meta name=""robots"" content=""index,follow"" />
<meta name=""viewport"" content=""width=device-width, initial-scale=1, shrink-to-fit=no"" />
<meta property=""og:title"" content=""n:aip – Die care:manager"" />
<meta name=""twitter:card"" content=""summary"" />
<meta name=""twitter:title"" content=""n:aip – Die care:manager"" />
<meta name=""apple-mobile-web-app-title"" content=""n:aip"" />
<meta name=""msapplication-tilecolor"" content=""#FFFFFF"" />
<meta name=""theme-color"" content=""#002D4B"" />
<meta name=""format-detection"" content=""telephone=no"" />
<meta name=""google-site-verification"" content=""001191364848106415047:09hjujpvhsu"" />
<meta name=""msapplication-tileimage"" content=""/fileadmin/toujou/assets/1/favicon/mstile-144x144.png"" />
<meta name=""date"" content=""2022-10-17"" />


<link rel=""stylesheet"" href=""/_assets/06b6999e3e8a558724cbae14c4a6bac6/build/Stylesheets/tabi.css?1690958585"" media=""all"">
<link rel=""stylesheet"" href=""/fileadmin/toujou/assets/1/fonts.css?1633692427"" media=""all"">
<style>
/*<![CDATA[*/
<!-- 
/*InlineDefaultCss*/
/* default styles for extension ""tx_form"" */
		.captcha { margin-bottom: .5rem; }
		.captcha a { margin-left: .5rem; }
		.captcha--reloading img { opacity: 0.5; }
		.captcha--reloading a { cursor: auto; }
		.captcha--reloading svg { animation: spin 1s infinite linear; }
		@keyframes spin {
           from {transform:rotate(359deg);}
           to {transform:rotate(0deg);}
        }

/*additionalTSFEInlineStyle*/
        :root {
            --bg-color:                     rgb(255, 255, 255);
            --font-color:                   rgb(102, 102, 102);
            --font-color--light:            rgb(181, 181, 181);
            --font-color--dark:             rgb(38, 38, 38);

            --primary-color:                rgb(0, 45, 75);
            --primary-color--light:         rgb(166, 217, 227);
            --primary-color--dark:          rgb(12, 34, 59);

            --secondary-color:              rgb(156, 156, 156);
            --secondary-color--light:       rgb(242, 242, 242);
            --secondary-color--dark:        rgb(130, 130, 130);

            --success-color:                rgb(0, 230, 118);
            --warning-color:                rgb(255, 145, 0);
            --error-color:                  rgb(255, 23, 68);

            --navigation-color:             var(--primary-color);
            --navigation-color--mobile:     var(--primary-color);

            --media_copyright_visibility:   0;
            }             :root {
               --paragraph__family:        ""Open Sans"", sans-serif;
               --paragraph__normal:        400;
               --paragraph__bold:          600;
               --headline__family:         ""Open Sans"", sans-serif;
               --headline__weight:         400;
            }/* FONTS */
h1 {color: #002d4b;}
p, li, a, p.notes{font-size: 16px;}
.infotext {font-size: 16px; font-weight: bold;}
.button {font-size: 16px;}
h3 {color:var(--primary-color);}

/* FOOTER */
footer {background-image: url(""/fileadmin/Bilder/Demo/footer.png"");background-size: cover;padding-top: 5vw;background-repeat: no-repeat;border: none;}
footer a {color: white;padding-left: 0}
footer a:hover, footer a:focus {color: var(--primary-color--light);}
footer p {padding-left: 0.5rem;font-size: .875rem;margin-bottom: .5rem;}
footer hr {border: none;border-top: 1px solid var(--primary-color--light);margin: 0 2rem .5rem;width: 100%;  max-width: none;}
.footer__content .text-columns__column a {font-size: .875rem;}
footer .notes {background: rgba(0,0,0,.333);line-height: 2;font-size: 1rem;margin-bottom: .75rem;}
.footer__content { max-width: 64rem;}
.footer__content .text-columns__column:first-child p {position: relative;padding-left: 4.25rem;}
.footer__content .text-columns__column:first-child p.notes {padding-left: .5rem;}
footer p em {font-style: normal;display: block;position: absolute;top: 0;left: .5rem;}
footer p:after {display: block;content: '';clear: both;}

/* SOCIAL ICONS */
.infotext.social-icon a:before {display: inline-block;content: """";width: 30px;height: 30px;font-family: FontAwesome;font-size: 25px;font-weight: normal;-webkit-font-smoothing: antialiased;}
.social-icon.social-icon--facebook a:before {content: ""\f082"";}
.social-icon.social-icon--youtube a:before {content: ""\f166"";}
.social-icon.social-icon--podcast a:before {content: ""\f1bc"";}

p.infotext.icon a {width: max-content;position: relative;}
p.infotext.icon a:before { display: block;content: '';width: 40px;height: 50px;background-image: url(/fileadmin/Bilder/Icons/30px-vvhc-web.jpg);background-repeat: no-repeat;position: relative; float:left;}


/* BUBBLES */
.bubbles {position: fixed;top: 10rem;right: 1rem;}
.bubbles__icon, .bubbles__icon:hover, .bubbles__icon:focus {color: transparent;}
.bubbles__item {width: 64px;height: 64px;border-radius: 64px;background: #002d4b;margin: 0 0 10px;}
.bubbles__icon:before {display: block; content: """";width: 64px; height: 64px;font-family: FontAwesome;color: #fff;line-height: 64px;text-align: center;font-size: 1.5rem;-webkit-font-smoothing: antialiased;}
.bubbles__icon.bubbles__icon--search:before {content: ""\f002"";}
.bubbles__icon.bubbles__icon--contact:before {content: ""\f003"";}
.bubbles__icon.bubbles__icon--feedback:before {content: ""\f005"";}

.bubbles__icon .indexedsearch-form__element {opacity: 0;position: absolute;left: -450px;top: 59px;transition: opacity .5s ease-in-out;}
@media all and (min--moz-device-pixel-ratio:0) and (min-resolution: .001dpcm) {
  .bubbles__icon .indexedsearch-form__element {left: -480px;}
}
.bubbles__icon.bubbles__icon--active .indexedsearch-form__element {opacity:1;transition: opacity .5s ease-in-out;}

.topbutton {right: 1.75rem;}
/* ACCORDION */
.accordion__title {color: var(--primary-color);}
.accordion__info {padding:.375rem 0 .375rem 0;}
.accordion__content--active {padding:.75rem 0 0.75rem 0;}

/* CONTENT CARDS*/
.content-card {
    border: none;
    background: var(--secondary-color--light);
    box-shadow: none; }

.content-card__title {
    font-size: 18.72px;
    color: #002D4B;
    font-weight: 700;
}

/* BACKGROUND */
.toujou-example { 
  background:var(--secondary-color--light);
  padding:3em;
  margin-block-end: 4em;
  margin-block-start: 4em;}

/* HEADERBOX*/
.font--boxed {
    background: var(--secondary-color--light);
    color: #002d4b;
}

.font--boxed:after {
    display: none;
}

.header__image img {
    -o-object-fit: contain;
    object-fit: contain;
    -o-object-position: 50% 100%;
    object-position: 50% 100%;
    font-family: ""object-fit: contain; object-position: 50% 100%"";
}

/*NAVIGATION*/

.navigation-item.navigation-item--second-level>.navigation-item__link, .navigation-item.navigation-item--third-level>.navigation-item__link {color: var(--navigation-color);text-transform: none;}
.navigation-item__link {font-size: 16px;}
@media only screen and (min-width: 64rem) {
  .navigation--main.navigation--fixed {right: 12px;}
  .navigation-item--third-level>.navigation-item__link {white-space: initial;} 
  .navigation-item.navigation-item--second-level, .navigation-item.navigation-item--third-level {min-width:13rem;}
  .navigation--sub-nav {border:var(--navigation-color) solid 3px;}
  
  /*Über n:aip*/
  .navigation.navigation--sub-nav.navigation--second-level.navigation--has-subnav > .navigation-item:first-child {min-width: 12rem;left: -3px;position: relative;}  
  .navigation-item.navigation-item--first-level.navigation-item--hasSubNav:nth-of-type(4) > .navigation--sub-nav:after {width:0;}
  .navigation-item.navigation-item--first-level.navigation-item--hasSubNav:nth-of-type(4) > .navigation--sub-nav .navigation-item--second-level:first-child .navigation--sub-nav {border-top: 0;border-right: 0;}
  .navigation-item.navigation-item--first-level.navigation-item--hasSubNav:nth-of-type(4) > .navigation--sub-nav .navigation-item--second-level:first-child .navigation--sub-nav.navigation--third-level:after {width:6px; border-bottom: 3px solid #33647b;right: -4px;}
  /*Marken*/
  .navigation-item.navigation-item--first-level.navigation-item--hasSubNav:nth-of-type(4) > .navigation--sub-nav .navigation-item--second-level:last-child .navigation--sub-nav {border-top: 0;border-left: 0;border-right: 0;}
  .navigation-item.navigation-item--first-level.navigation-item--hasSubNav:nth-of-type(4) > .navigation--sub-nav .navigation-item--second-level:last-child .navigation--sub-nav.navigation--third-level:after {background: #002d4b;right: -3px;height: calc(100% + 3px);}
}


/*content cards with icon*/
.content-card.content-card--primary {overflow:visible;margin-top: 2rem;}
.content-card__cta {width: 100%;border-radius: 0;}

/*Overlay
